"participant_id";"entry_no";"top_tracks_isrc";"top_tracks_title";"top_tracks_spotify_id";"top_tracks_artist";"top_tracks_cover";"top_tracks_label";"top_tracks_album_name";"top_tracks_release_date";"top_tracks_album_type";"top_tracks_duration_ms";"top_tracks_popularity";"top_tracks_acousticness";"top_tracks_danceability";"top_tracks_energy";"top_tracks_key";"top_tracks_loudness";"top_tracks_speechiness";"top_tracks_instrumentalness";"top_tracks_liveness";"top_tracks_valence";"top_tracks_tempo";"last_tracks_played_at";"last_tracks_context_type";"last_tracks_context_uri";"top_artists_type";"top_artists_popularity";"top_artists_followers";"top_artists_genres";"top_artists_cover";"top_artists_name";"top_artists_spotify_id"
"56";"24";"USAR10200224";"I'm with You";"1jlG3KJ3gdYmhfuySFfpO1";"Avril Lavigne";"https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240";"Arista";"Let Go";"2002-06-04";"ALBUM";"223066";"75";"0.08";"0.457";"0.406";"9";"-7.462";"0.0291";"0";"0.117";"0.208";"151.95";"";"";"";"artist";"82";"0";"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock";"https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433";"The Beatles";"3WrFJ7ztbogyGnTHbHJFl2"
"56";"25";"USAR10200229";"Sk8er Boi";"00Mb3DuaIH1kjrwOku9CGU";"Avril Lavigne";"https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240";"Arista";"Let Go";"2002-06-04";"ALBUM";"204000";"79";"0.0000679";"0.487";"0.9";"0";"-4.417";"0.0482";"0";"0.358";"0.484";"149.937";"";"";"";"artist";"64";"0";"alternative rock, britpop, permanent wave, rock";"https://i.scdn.co/image/ab6761610000e5ebc8b42133fea50275b77f45e2";"Placebo";"6RZUqkomCmb8zCRqc9eznB"
"56";"26";"DECE72102420";"Tu nicht so";"4UsCwlqEQXA1QRPU1uWO7o";"badmómzjay";"https://i.scdn.co/image/ab67616d0000b273671ec593c527c96eb6ad7e93";"Vertigo Berlin";"badmómz.";"2021-11-25";"ALBUM";"154838";"56";"0.079";"0.831";"0.554";"8";"-7.853";"0.0717";"0.000419";"0.0888";"0.758";"155.016";"";"";"";"artist";"48";"0";"chillhop, jazz boom bap";"https://i.scdn.co/image/ab6761610000e5eb7dd3d7ee00a5c2835c48fb78";"Suff Daddy";"7BYXrz5LhCrix6A3EwPvU0"
"56";"27";"DEZC62296530";"Bordstein";"0TZ1J0i193erNwd7upEMFs";"Jindo109";"https://i.scdn.co/image/ab67616d0000b2738dac57c8ca0fc3d80a4e730d";"recordJet";"Bordstein";"2022-09-23";"SINGLE";"150836";"37";"0.334";"0.89";"0.652";"10";"-8.219";"0.285";"0.000149";"0.175";"0.403";"102.982";"";"";"";"artist";"72";"0";"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock";"https://i.scdn.co/image/ab6761610000e5eb440959e022afc20e819050bd";"The Doors";"22WZ7M8sxp5THdruNY3gXt"
"56";"28";"FRX872179579";"JENNIFER CHECK";"4A6V42HNYeihI4miScgujq";"Mia Morgan";"https://i.scdn.co/image/ab67616d0000b273e48fff336e78369502ba3ab7";"Eklat Tonträger";"FLEISCH";"2022-04-29";"ALBUM";"236015";"32";"0.0473";"0.736";"0.648";"11";"-4.621";"0.0328";"0";"0.143";"0.391";"119.964";"";"";"";"artist";"41";"0";"bayerischer rap, german alternative rap, german jazz rap";"https://i.scdn.co/image/ab6761610000e5eb85619bd7c91d1648c3fbad65";"Edgar Wasser";"6qIHycJGyzIFBCXc0kg9cM"
"56";"29";"DEZC62217181";"Kopflos";"30GahK6D4Hxlpd3UVAToNE";"S.H.O.K.";"https://i.scdn.co/image/ab67616d0000b273b58e27a5d8a01845c90aa8fc";"recordJet";"Kopflos";"2023-01-13";"SINGLE";"225935";"29";"0.425";"0.719";"0.615";"8";"-10.956";"0.152";"0.00269";"0.155";"0.594";"83.969";"";"";"";"artist";"37";"0";"german boom bap";"https://i.scdn.co/image/ab6761610000e5ebac7c46f693c4c55bcf004574";"Lord Folter";"39KCAyOBvMmaBfzmCsFjf6"
"56";"30";"DEE862201088";"Thick";"7Irj2ipTcddi6hQM6PkvUf";"KeKe";"https://i.scdn.co/image/ab67616d0000b2733fc1d35df00d80a503b0933c";"Columbia Local";"Thick";"2022-08-05";"SINGLE";"164490";"29";"0.0209";"0.835";"0.69";"8";"-6.412";"0.0758";"0.0149";"0.316";"0.519";"123.018";"";"";"";"artist";"52";"0";"deep euro house, deep minimal techno, high-tech minimal, minimal melodic techno, new french touch";"https://i.scdn.co/image/ab6761610000e5eb12f5b7de24ef7f140fdf8d1b";"Worakls";"5RPzPJCg4ER1LzQkorZ31p"
"56";"31";"DESQ62200174";"Klar kann ich woanders traurig sein";"5D8I8ASM98RSKVlKQ3O30r";"CONNY,Taby Pilgrim";"https://i.scdn.co/image/ab67616d0000b2730ab47562d96d31e6b29ef23e";"Sweeep Records";"Klar kann ich woanders traurig sein";"2022-11-17";"SINGLE";"147034";"20";"0.56";"0.617";"0.507";"7";"-12.553";"0.292";"0.0000184";"0.21";"0.317";"171.87";"";"";"";"artist";"34";"0";"antideutsche, german alternative rap";"https://i.scdn.co/image/ab6761610000e5ebc4eb788ce9031716df95cd99";"Zugezogen Maskulin";"1yrJYfMWNHZWIGWM2Cb4gF"
"56";"32";"USRC12003706";"WTF Do I Know";"37PJvlIfYWqEX6fgjHlnTf";"Miley Cyrus";"https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142";"RCA Records Label";"Plastic Hearts";"2020-11-27";"ALBUM";"171800";"63";"0.00255";"0.564";"0.849";"4";"-2.619";"0.248";"0";"0.269";"0.634";"157.905";"";"";"";"artist";"48";"0";"hip-hop experimental";"https://i.scdn.co/image/ab6761610000e5eb1b561747b3f4a2487f098351";"Degiheugi";"3V2paBXEoZIAhfZRJmo2jL"
"56";"33";"DEZC62292779";"Monochrom";"3esT0mpnu7aNnWECTtXGZ5";"Rokko Weissensee";"https://i.scdn.co/image/ab67616d0000b2736b7cb11a54bbe4f3f75693ff";"recordJet";"Was dich umbringt, tötet dich";"2022-10-07";"ALBUM";"165291";"37";"0.24";"0.643";"0.643";"4";"-9.36";"0.401";"0";"0.0635";"0.272";"82.148";"";"";"";"artist";"80";"0";"album rock, classic rock, rock, soft rock, yacht rock";"https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8";"Fleetwood Mac";"08GQAI4eElDnROBrJRGE0X"
